Training loss	Validation loss	Training dice	Validation dice	Learning rate
0.03699430109821512	0.020417652362628155	0.8520078895606698	0.8653410342425724	0.010000000000000002
0.031101276982292626	0.015066967469592695	0.8552162685656035	0.8863786781156385	0.010000000000000002
0.029359750803811927	0.014640595703678197	0.8606226452779656	0.8840824642317853	0.009991120277927222
0.029171076724557658	0.013937159663831388	0.8646011784755719	0.8954994408428574	0.009964516155915152
0.027948989427030568	0.01388176261696858	0.8685049699855022	0.893386204784739	0.0099202926282791
0.027607860097499725	0.01436207998067952	0.8718577685010935	0.8903806753492128	0.00985862422507884
0.027608903530298295	0.013124812308966147	0.8760023957078383	0.8938342068456884	0.009779754323328192
0.02745607413238362	0.018409106669759093	0.8759288532020748	0.863825925867205	0.009683994186497132
0.027312292674794948	0.013100556674865349	0.8772027528561006	0.8953839087524171	0.009571721736097088
0.026618222287637845	0.01415306077541788	0.8786483076278805	0.8877256914428383	0.009443380060197386
0.026572413971946207	0.01423780803776136	0.8797640680033912	0.8953410757554544	0.009299475664759069
0.02663860658738264	0.016351228745502273	0.8800450433504989	0.9025688132534725	0.009140576474687266
0.02628248717366642	0.013941919934207209	0.8818494757680354	0.8976671454068776	0.008967309592491052
0.026280877759880937	0.012220004267608121	0.8826493811730648	0.9056278677547679	0.008780358823396353
0.026331054857790703	0.013765788505879928	0.8839352674776348	0.8820761184434633	0.0085804619766791
0.026463607781091202	0.012971605444043825	0.8822796116675663	0.9005737409872168	0.008368407953869105
0.026196861279189812	0.0120888982986197	0.8836224438324749	0.9032773623784889	0.00814503363531613
0.02574263877735837	0.014165053020995992	0.885379458692402	0.8882311770192012	0.007911220577405485
0.02560514986807519	0.015329230051832026	0.8860630747953292	0.9052452798488598	0.0076678915334577194
0.025639943390741632	0.015910273491075877	0.8858133908435287	0.9032934526949884	0.007416006812042828
0.025541901419836845	0.01214831972869786	0.8862293606109817	0.9083846617957936	0.007156560487081053
0.025842192151947517	0.012111566402887946	0.8870635479570099	0.9119114215309555	0.006890576474687264
0.025303748964077173	0.012841333117899048	0.8862945686139658	0.9021759524064905	0.006619104492241847
0.025393919985025104	0.01662555164596457	0.8873273836494725	0.902964140443999	0.006343215915635763
0.025419480228060693	0.012506095996902573	0.8889779118952906	0.9063392848202837	0.006063999551039371
0.02502147790174946	0.011691027996810457	0.8893409401486578	0.912167777507218	0.0057825573378819115
0.024833998087897872	0.01164140231188193	0.8906298944802159	0.9122223225799767	0.0055000000000000005
0.024996242575729362	0.012605063024001783	0.8901705565012535	0.9099066117230583	0.0052174426621180905
0.02421647862280447	0.013238919423825077	0.8916198242820248	0.910423539116955	0.004936000448960632
0.024085307481349353	0.013232538915422596	0.8924379712452277	0.9042025825367065	0.00465678408436424
0.024009394066744648	0.014399447469522191	0.8935922901357273	0.908545417512733	0.004380895507758154
0.024232143660173393	0.011759319315494983	0.8923117235338489	0.9165648816120833	0.004109423525312739
0.024115549997135208	0.013599522105660462	0.8934444109646213	0.9082826309628631	0.0038434395129189505
0.024309242574741447	0.012300508203165752	0.8937862286893925	0.9125400783526689	0.0035839931879571734
0.024608351957947038	0.014229375770908617	0.8942162682589028	0.9077231561815416	0.003332108466542281
0.024084790837745403	0.012982480773753947	0.8949597385447463	0.9110209841417395	0.0030887794225945143
0.024185402199363687	0.01537248918852626	0.8954921702638731	0.9043168236985685	0.0028549663646838717
0.023691963237828288	0.012650404384778045	0.8961794494444545	0.9145195287058577	0.0026315920461308963
0.023699165689562617	0.01428372084649959	0.8961996328479824	0.9093423330347944	0.002419538023320901
0.023655875204150457	0.013159669119170792	0.8960343765757249	0.9078645068435487	0.002219641176603649
0.02335757071418779	0.01141231404939815	0.8961941880798567	0.917212628692815	0.002032690407508949
0.023811835405969133	0.020183358611753237	0.897782221140137	0.9088218426287459	0.0018594235253127371
0.02394791826146063	0.013107449290555379	0.8976274849217186	0.9137467928645342	0.0017005243352409332
0.02391673098386813	0.01151117886750591	0.8952764894579172	0.9164691617644269	0.001556619939802614
0.024111488525874806	0.013675534038702029	0.8976867020651758	0.9121624069297257	0.001428278263902913
0.023597984253597434	0.012195125242975563	0.897860524264611	0.9147389384256068	0.001316005813502869
0.02347941190697932	0.017858527497163806	0.8985756806845502	0.9073100046436813	0.001220245676671809
0.023589377723739917	0.012535418154665448	0.8983531923595647	0.9146387646232387	0.0011413757749211607
0.02382523992787265	0.017664775949136624	0.8986811461008629	0.9086648548919181	0.0010797073717209009
0.024021042937283386	0.013290192411486006	0.8981067304726906	0.9120536908057233	0.00103548384408485
